1,RightArrow,[0.05819686 0.40367934 0.18318775 0.47399232]
1,LeftArrow,[0.06119396 0.40358585 0.1877042  0.47294527]
2,RightArrow,[0.05715505 0.4082577  0.18228036 0.47759256]
3,LeftArrow,[0.06376097 0.4143266  0.17361018 0.4800973 ]
3,RightArrow,[0.05648391 0.4115301  0.18139361 0.47934398]
4,LeftArrow,[0.06520917 0.41654423 0.17680362 0.48225924]
5,LeftArrow,[0.06583239 0.42131847 0.17452689 0.48520303]
6,LeftArrow,[0.06741802 0.42334327 0.17668813 0.48693487]
7,LeftArrow,[0.0664269  0.4236409  0.18784332 0.48661584]
8,LeftArrow,[0.06438099 0.4238713  0.17313929 0.48912188]
9,LeftArrow,[0.06078031 0.42282993 0.16864718 0.4890476 ]
10,LeftArrow,[0.05338501 0.42392296 0.17282811 0.49268776]
11,LeftArrow,[0.05260208 0.4258551  0.174575   0.49678278]
12,LeftArrow,[0.05479543 0.4284762  0.17592269 0.4990865 ]
12,RightArrow,[0.05479543 0.4284762  0.17592269 0.4990865 ]
13,LeftArrow,[0.05393301 0.42989928 0.17676364 0.5008358 ]
13,RightArrow,[0.05393301 0.42989928 0.17676364 0.5008358 ]
14,LeftArrow,[0.05339449 0.43013704 0.17658007 0.5012233 ]
15,LeftArrow,[0.05219944 0.42952773 0.17560343 0.50107455]
16,LeftArrow,[0.05178541 0.43290603 0.17784172 0.50310963]
17,RightArrow,[0.05606437 0.43562016 0.18408626 0.50433683]
17,LeftArrow,[0.05606437 0.43562016 0.18408626 0.50433683]
18,LeftArrow,[0.05863385 0.43743768 0.18524532 0.50573   ]
19,LeftArrow,[0.05246023 0.43427408 0.17796299 0.5051365 ]
20,RightArrow,[0.0440742  0.43128875 0.17153889 0.5032021 ]
21,RightArrow,[0.03821379 0.42805648 0.16766623 0.49950337]
22,RightArrow,[0.03111668 0.4260953  0.15495014 0.49574494]
22,LeftArrow,[0.03751193 0.42739123 0.14759307 0.49311477]
23,RightArrow,[0.03058421 0.42466983 0.15264362 0.49345365]
23,LeftArrow,[0.03058421 0.42466983 0.15264362 0.49345365]
24,RightArrow,[0.0292123  0.4237008  0.15079896 0.4924971 ]
24,LeftArrow,[0.0292123  0.4237008  0.15079896 0.4924971 ]
25,RightArrow,[0.0256771  0.42220843 0.14855075 0.48974502]
25,LeftArrow,[0.03159005 0.42352372 0.14350411 0.48825514]
26,RightArrow,[0.02268278 0.42131382 0.1462726  0.48742414]
27,RightArrow,[0.02761313 0.42040616 0.1494584  0.4859872 ]
28,LeftArrow,[0.046644   0.41656062 0.15883346 0.48115942]
29,RightArrow,[0.05180862 0.40965724 0.17677641 0.4837311 ]
30,RightArrow,[0.05302443 0.40491647 0.18209636 0.48723394]
31,RightArrow,[0.05161662 0.40382546 0.18299387 0.48555505]
32,RightArrow,[0.05652977 0.40276384 0.18787089 0.4849705 ]
33,RightArrow,[0.07505214 0.4018063  0.19998592 0.4824159 ]
34,RightArrow,[0.08388368 0.39930224 0.20988214 0.48019207]
35,RightArrow,[0.08417844 0.39898348 0.20877954 0.47984535]
36,RightArrow,[0.07764089 0.40185136 0.20426348 0.48220593]
36,BlueAvatar,[0.23836708 0.00511529 0.35189885 0.0875059 ]
37,RightArrow,[0.08000104 0.403863   0.20680712 0.48589993]
37,BlueAvatar,[0.2374739  0.00945074 0.35185415 0.09206408]
38,BlueAvatar,[0.2378473  0.01188924 0.35148308 0.09390911]
38,RightArrow,[0.08461195 0.40611044 0.21091121 0.48780784]
39,BlueAvatar,[0.23274083 0.01489692 0.34650406 0.09643081]
39,RightArrow,[0.08435044 0.40921625 0.21004009 0.4908792 ]
40,RightArrow,[0.08331452 0.41484895 0.20752941 0.4961386 ]
40,BlueAvatar,[0.22896753 0.02312286 0.3437023  0.1029664 ]
41,RightArrow,[0.08281851 0.42209408 0.20527416 0.50351596]
41,BlueAvatar,[0.22831762 0.03392456 0.3395971  0.11260357]
42,RightArrow,[0.0790556  0.42729658 0.20321122 0.50931036]
42,BlueAvatar,[0.22484234 0.04182774 0.33395126 0.12111399]
43,RightArrow,[0.07258349 0.4333699  0.19939879 0.51583475]
43,BlueAvatar,[0.22087888 0.04857063 0.33215755 0.12662856]
44,RightArrow,[0.06692126 0.43947998 0.19333908 0.52209055]
44,BlueAvatar,[0.21562324 0.05647916 0.32727087 0.13386361]
45,RightArrow,[0.06266113 0.4471679  0.189081   0.52930075]
45,BlueAvatar,[0.20975158 0.06594835 0.31975785 0.14157094]
46,BlueAvatar,[0.2063629  0.07565668 0.315924   0.15043917]
46,RightArrow,[0.06113327 0.45529345 0.18849948 0.53770626]
47,RightArrow,[0.0592378 0.4700141 0.1830709 0.5523361]
47,BlueAvatar,[0.20267752 0.09182775 0.31018046 0.16656768]
48,RightArrow,[0.05167703 0.4851659  0.17469624 0.56946653]
48,BlueAvatar,[0.19515672 0.11252473 0.3059133  0.18509163]
49,RightArrow,[0.03085568 0.49650133 0.1569998  0.5812321 ]
49,BlueAvatar,[0.18615621 0.12518527 0.2939675  0.19823684]
50,RightArrow,[0.00089889 0.5062704  0.13459015 0.59220314]
50,BlueAvatar,[0.1683875  0.13761862 0.27950066 0.20811094]
51,RightArrow,[0.         0.5122525  0.10593193 0.5993299 ]
51,BlueAvatar,[0.15180494 0.13752235 0.26318544 0.2107464 ]
52,RightArrow,[1.1047721e-04 5.1361978e-01 7.6270215e-02 5.9992445e-01]
52,BlueAvatar,[0.13676845 0.14459324 0.2508774  0.21302131]
53,BlueAvatar,[0.12471946 0.13876776 0.23937836 0.20988946]
53,RightArrow,[0.00066716 0.5098551  0.04008451 0.6106786 ]
54,BlueAvatar,[0.11110581 0.13759986 0.22962286 0.2083683 ]
55,BlueAvatar,[0.1066773  0.14246988 0.2246711  0.21128184]
56,BlueAvatar,[0.10683542 0.14925729 0.22802553 0.21940885]
57,BlueAvatar,[0.11011761 0.15614727 0.22859192 0.22753057]
58,BlueAvatar,[0.11702907 0.16041218 0.23459962 0.2307504 ]
59,BlueAvatar,[0.12742381 0.1608205  0.24375619 0.22915642]
60,BlueAvatar,[0.13803813 0.15863551 0.25340325 0.22404172]
60,RightArrow,[0.00108879 0.52153623 0.03796997 0.6202558 ]
61,BlueAvatar,[0.14534056 0.15180534 0.26222485 0.21788707]
61,RightArrow,[0.00118359 0.5124916  0.0470109  0.6130545 ]
62,BlueAvatar,[0.15645099 0.14566272 0.2719787  0.21280235]
62,RightArrow,[4.5328587e-04 5.0976235e-01 5.6563191e-02 6.0723823e-01]
63,BlueAvatar,[0.16530675 0.14361428 0.28069836 0.21149363]
63,RightArrow,[0.         0.5104332  0.06751791 0.59547246]
64,BlueAvatar,[0.16581619 0.14457992 0.28135633 0.21286091]
64,RightArrow,[0.         0.5094548  0.06726652 0.59771127]
65,BlueAvatar,[0.16546056 0.14202878 0.28127253 0.21022436]
65,RightArrow,[0.         0.5045948  0.05829669 0.6022266 ]
66,BlueAvatar,[0.17808135 0.13086988 0.2912059  0.20033665]
66,RightArrow,[0.         0.49973387 0.06928732 0.5880863 ]
67,BlueAvatar,[0.17654222 0.11821276 0.28881213 0.19060141]
67,RightArrow,[2.2990629e-04 4.8933852e-01 7.9758272e-02 5.7567644e-01]
68,BlueAvatar,[0.17669544 0.0914031  0.29386663 0.16773215]
68,RightArrow,[0.        0.4704301 0.0769866 0.5562834]
69,BlueAvatar,[0.17649528 0.07658756 0.29474074 0.15445368]
69,RightArrow,[3.3229217e-04 4.5866206e-01 8.5036427e-02 5.4744089e-01]
70,BlueAvatar,[0.17563105 0.06811824 0.29253095 0.1463602 ]
70,RightArrow,[0.         0.45379633 0.09177329 0.54046506]
71,BlueAvatar,[0.17144571 0.0621093  0.2882808  0.14361241]
71,RightArrow,[0.         0.45044628 0.0952282  0.53548896]
72,BlueAvatar,[0.16841894 0.055633   0.28838974 0.13619837]
72,RightArrow,[0.         0.44683924 0.10147792 0.534267  ]
73,RightArrow,[0.         0.44340855 0.10440251 0.5304508 ]
73,BlueAvatar,[0.1657845  0.04840527 0.2857008  0.12814796]
74,RightArrow,[0.         0.43973938 0.10848007 0.52758026]
74,BlueAvatar,[0.16743213 0.04298328 0.289001   0.12366943]
75,RightArrow,[0.         0.4375525  0.11521877 0.525125  ]
75,BlueAvatar,[0.17430867 0.04010466 0.29326135 0.12137974]
76,RightArrow,[0.         0.43597898 0.11908289 0.52417386]
76,BlueAvatar,[0.17845514 0.03776471 0.30015647 0.11870749]
77,RightArrow,[0.         0.43504974 0.1259565  0.522451  ]
77,BlueAvatar,[0.18559453 0.03540678 0.30650783 0.11562689]
78,RightArrow,[0.00110795 0.43580166 0.13252628 0.5228151 ]
78,BlueAvatar,[0.18764833 0.03481002 0.30766594 0.11446334]
79,RightArrow,[0.00269404 0.43535945 0.14010543 0.52258575]
79,BlueAvatar,[0.1886311  0.02982483 0.3076559  0.11101314]
80,RightArrow,[0.00244694 0.43323204 0.14052057 0.52034837]
80,BlueAvatar,[0.1863805  0.02273139 0.3087874  0.1096642 ]
81,BlueAvatar,[0.18364331 0.01509414 0.308977   0.10274957]
81,RightArrow,[0.00056899 0.4299529  0.13763379 0.51829076]
82,RightArrow,[2.2771209e-04 4.2827824e-01 1.3849691e-01 5.1674193e-01]
82,BlueAvatar,[0.18403062 0.00893778 0.30753124 0.09881228]
